ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist
1500,Band Upright Row (Under two feet),Strength,Shoulders,Band,Male,Deltoid Lateral,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Serratus Anterior, Trapezius Lower Fibers, Trapezius Middle Fibers"
1501,Band Side Plank Row with Partner,Strength,Back,Band,Male,,
1502,Band Pushdown,Strength,Upper Arms,Band,Male,Triceps Brachii,
1503,Band Pull Apart,Strength,Shoulders,Band,Male,,
1504,Band Skull Crusher,Strength,Upper Arms,Band,Male,,
1505,Band Calf Raise (Version 3),Strength,Calves,Band,Male,,
1506,Band EZ Barbell Close-grip Curl,Strength,Upper Arms,Band,Male,,
1507,Band Hip Flexion,Strength,Hips,Band,Male,,
1508,Band Lateral Raise (Version 2),Strength,Shoulders,Band,Male,Deltoid Lateral,"Deltoid Anterior, Serratus Anterior"
1509,Barbell Bench Squat (With chains),Strength,Thighs,Barbell,Male,,
1510,Crossover Reverse Lunge,Stretching,Thighs,Body weight,Male,,
1511,Hamstring Stretch,Stretching,Thighs,Body weight,Male,Hamstrings,
1512,All Fours Squad Stretch,Stretching,Thighs,Body weight,Male,,
1513,Band Good Morning,Strength,Hips,Band,Male,,
1514,Barbell Quarter Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1515,Barbell Clean Deadlift,Strength,Thighs,Barbell,Male,,
1516,Barbell Clean From Blocks,Strength,Weightlifting,Barbell,Male,,
1517,Barbell Clean Pull,Strength,Weightlifting,Barbell,Male,,
1518,Barbell Decline Bench Lunge,Strength,Thighs,Barbell,Male,,
1519,Smith Good Morning Off Pins,Strength,Hips,Smith machine,Male,,
1520,Barbell Hang Clean,Strength,Weightlifting,Barbell,Male,,
1521,Barbell Hang Clean Below the Knees,Strength,Weightlifting,Barbell,Male,,
1522,Barbell Hang Snatch,Strength,Weightlifting,Barbell,Male,"Adductor Magnus, Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Lateral, Gastrocnemius, Gluteus Maximus, Hamstrings, Pectoralis Major Clavicular Head, Quadriceps, Serratus Anterior, Soleus",
1523,Barbell Hang Snatch Below the Knees,Strength,Weightlifting,Barbell,Male,,
1524,Barbell Heaving Snatch Balance,Strength,Weightlifting,Barbell,Male,,
1525,Barbell Jerk Dip Squat,Strength,Thighs,Barbell,Male,,
1526,Barbell Muscle Snatch,Strength,Weightlifting,Barbell,Male,,
1527,Barbell Olympic Squat,Strength,Thighs,Barbell,Male,,
1528,Barbell Power Clean from Blocks,Strength,Weightlifting,Barbell,Male,"Adductor Magnus, Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Lateral, Gastrocnemius, Hamstrings, Pectoralis Major Clavicular Head, Quadriceps, Serratus Anterior, Soleus",
1529,Barbell Power Jerk,Strength,Weightlifting,Barbell,Male,"Adductor Magnus, Deltoid Anterior, Deltoid Lateral, Gastrocnemius, Gluteus Maximus, Hamstrings, Pectoralis Major Clavicular Head, Quadriceps, Soleus, Triceps Brachii",
1530,Barbell Power Snatch,Strength,Weightlifting,Barbell,Male,"Adductor Magnus, Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Lateral, Gastrocnemius, Hamstrings, Pectoralis Major Clavicular Head, Quadriceps, Serratus Anterior, Soleus",
1531,Barbell Power Snatch From Blocks,Strength,Weightlifting,Barbell,Male,"Adductor Magnus, Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Lateral, Gluteus Maximus, Hamstrings, Pectoralis Major Clavicular Head, Quadriceps, Serratus Anterior",
1532,Barbell Romanian Deadlift From Deficit,Strength,Hips,Barbell,Male,,
1533,Barbell Snatch,Strength,Weightlifting,Barbell,Male,"Adductor Magnus, Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Lateral, Gluteus Maximus, Hamstrings, Pectoralis Major Clavicular Head, Quadriceps, Soleus, Triceps Brachii",
